HDR,ICPSUMM,CTCT,CUST,04/08/2025,,000,00000012,01/08/2024,04/08/2025,NZST
DES,ICP Identifier,Metering component serial number,Energy flow direction,Register content code,Period of availability,Read period start date and time,Read period end date and time,Read status,Tariff name,Active energy kWh,Reactive energy kVArh
DET,0157211029LCDF8,212344630,Consumption,UN,24,20/07/2024 00:00:01,20/08/2024 00:00:00,RD,Anytime,4547.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/08/2024 00:00:01,20/09/2024 00:00:00,RD,Anytime,747.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/09/2024 00:00:01,18/10/2024 00:00:00,RD,Anytime,760.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,19/10/2024 00:00:01,20/11/2024 00:00:00,RD,Anytime,2252.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/11/2024 00:00:01,20/12/2024 00:00:00,RD,Anytime,1812.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/12/2024 00:00:01,20/01/2025 00:00:00,RD,Anytime,2054.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/01/2025 00:00:01,20/02/2025 00:00:00,RD,Anytime,1960.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/02/2025 00:00:01,20/03/2025 00:00:00,RD,Anytime,1469.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/03/2025 00:00:01,17/04/2025 00:00:00,RD,Anytime,871.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,18/04/2025 00:00:01,20/05/2025 00:00:00,RD,Anytime,1096.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,21/05/2025 00:00:01,19/06/2025 00:00:00,RD,Anytime,918.00,0.00
DET,0157211029LCDF8,212344630,Consumption,UN,24,20/06/2025 00:00:01,18/07/2025 00:00:00,RD,Anytime,1310.00,0.00
