HDR,ICPSUMM,CTCT,CUST,04/08/2025,,000,00000012,01/08/2024,04/08/2025,NZST
DES,ICP Identifier,Metering component serial number,Energy flow direction,Register content code,Period of availability,Read period start date and time,Read period end date and time,Read status,Tariff name,Active energy kWh,Reactive energy kVArh
DET,1001140332LC583,212344627,Consumption,UN,24,27/07/2024 00:00:01,28/08/2024 00:00:00,RD,Anytime,6362.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,29/08/2024 00:00:01,27/09/2024 00:00:00,RD,Anytime,5706.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,28/09/2024 00:00:01,25/10/2024 00:00:00,RD,Anytime,4719.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,26/10/2024 00:00:01,28/11/2024 00:00:00,RD,Anytime,7332.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,29/11/2024 00:00:01,27/12/2024 00:00:00,RD,Anytime,6044.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,28/12/2024 00:00:01,28/01/2025 00:00:00,RD,Anytime,6459.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,29/01/2025 00:00:01,28/02/2025 00:00:00,RD,Anytime,6020.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,01/03/2025 00:00:01,28/03/2025 00:00:00,RD,Anytime,4263.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,29/03/2025 00:00:01,28/04/2025 00:00:00,RD,Anytime,4364.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,29/04/2025 00:00:01,28/05/2025 00:00:00,RD,Anytime,6531.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,29/05/2025 00:00:01,27/06/2025 00:00:00,RD,Anytime,6091.00,0.00
DET,1001140332LC583,212344627,Consumption,UN,24,28/06/2025 00:00:01,28/07/2025 00:00:00,RD,Anytime,6866.00,0.00
